LCLID,timestamp,year,energy
MAC000002,1/3/2014 12:00:00 AM,2014,0.424
MAC000002,1/3/2014 12:30:00 AM,2014,0.366
MAC000002,1/3/2014 1:00:00 AM,2014,0.408
MAC000002,1/3/2014 1:30:00 AM,2014,0.381
MAC000002,1/3/2014 2:00:00 AM,2014,0.4
MAC000002,1/3/2014 2:30:00 AM,2014,0.283
MAC000002,1/3/2014 3:00:00 AM,2014,0.105
MAC000002,1/3/2014 3:30:00 AM,2014,0.134
MAC000002,1/3/2014 4:00:00 AM,2014,0.077
MAC000002,1/3/2014 4:30:00 AM,2014,0.13
MAC000002,1/3/2014 5:00:00 AM,2014,0.08
MAC000002,1/3/2014 5:30:00 AM,2014,0.126
MAC000002,1/3/2014 6:00:00 AM,2014,0.09
MAC000002,1/3/2014 6:30:00 AM,2014,0.115
MAC000002,1/3/2014 7:00:00 AM,2014,0.099
MAC000002,1/3/2014 7:30:00 AM,2014,0.102
MAC000002,1/3/2014 8:00:00 AM,2014,0.109
MAC000002,1/3/2014 8:30:00 AM,2014,0.091
MAC000002,1/3/2014 9:00:00 AM,2014,0.12
MAC000002,1/3/2014 9:30:00 AM,2014,0.103
MAC000002,1/3/2014 10:00:00 AM,2014,0.154
MAC000002,1/3/2014 10:30:00 AM,2014,0.375
MAC000002,1/3/2014 11:00:00 AM,2014,0.251
MAC000002,1/3/2014 11:30:00 AM,2014,0.329
MAC000002,1/3/2014 12:00:00 PM,2014,0.222
MAC000002,1/3/2014 12:30:00 PM,2014,0.101
MAC000002,1/3/2014 1:00:00 PM,2014,0.107
MAC000002,1/3/2014 1:30:00 PM,2014,0.144
MAC000002,1/3/2014 2:00:00 PM,2014,0.096
MAC000002,1/3/2014 2:30:00 PM,2014,0.127
MAC000002,1/3/2014 3:00:00 PM,2014,0.114
MAC000002,1/3/2014 3:30:00 PM,2014,0.131
MAC000002,1/3/2014 4:00:00 PM,2014,0.079
MAC000002,1/3/2014 4:30:00 PM,2014,0.155
MAC000002,1/3/2014 5:00:00 PM,2014,0.091
MAC000002,1/3/2014 5:30:00 PM,2014,0.195
MAC000002,1/3/2014 6:00:00 PM,2014,0.19
MAC000002,1/3/2014 6:30:00 PM,2014,0.104
MAC000002,1/3/2014 7:00:00 PM,2014,0.223
MAC000002,1/3/2014 7:30:00 PM,2014,0.567
MAC000002,1/3/2014 8:00:00 PM,2014,0.9
MAC000002,1/3/2014 8:30:00 PM,2014,0.304
MAC000002,1/3/2014 9:00:00 PM,2014,0.422
MAC000002,1/3/2014 9:30:00 PM,2014,0.409
MAC000002,1/3/2014 10:00:00 PM,2014,0.418
MAC000002,1/3/2014 10:30:00 PM,2014,0.473
MAC000002,1/3/2014 11:00:00 PM,2014,0.48
MAC000002,1/3/2014 11:30:00 PM,2014,0.478
