LCLID,timestamp,year,energy
MAC000002,10/14/2012 1:30:00 AM,2012,0.088
MAC000002,10/14/2012 2:00:00 AM,2012,0.126
MAC000002,10/14/2012 2:30:00 AM,2012,0.082
MAC000002,10/14/2012 3:00:00 AM,2012,0.123
MAC000002,10/14/2012 3:30:00 AM,2012,0.083
MAC000002,10/14/2012 4:00:00 AM,2012,0.12
MAC000002,10/14/2012 4:30:00 AM,2012,0.079
MAC000002,10/14/2012 5:00:00 AM,2012,0.121
MAC000002,10/14/2012 5:30:00 AM,2012,0.075
MAC000002,10/14/2012 6:00:00 AM,2012,0.124
MAC000002,10/14/2012 6:30:00 AM,2012,0.073
MAC000002,10/14/2012 7:00:00 AM,2012,0.125
MAC000002,10/14/2012 7:30:00 AM,2012,0.07
MAC000002,10/14/2012 8:00:00 AM,2012,0.13
MAC000002,10/14/2012 8:30:00 AM,2012,0.108
MAC000002,10/14/2012 9:00:00 AM,2012,0.196
MAC000002,10/14/2012 9:30:00 AM,2012,0.346
MAC000002,10/14/2012 10:00:00 AM,2012,0.524
MAC000002,10/14/2012 10:30:00 AM,2012,0.076
MAC000002,10/14/2012 11:00:00 AM,2012,0.129
MAC000002,10/14/2012 11:30:00 AM,2012,0.667
MAC000002,10/14/2012 12:00:00 PM,2012,0.23
MAC000002,10/14/2012 12:30:00 PM,2012,0.22
MAC000002,10/14/2012 1:00:00 PM,2012,0.163
MAC000002,10/14/2012 1:30:00 PM,2012,0.091
MAC000002,10/14/2012 2:00:00 PM,2012,0.17
MAC000002,10/14/2012 2:30:00 PM,2012,0.11
MAC000002,10/14/2012 3:00:00 PM,2012,0.11
MAC000002,10/14/2012 3:30:00 PM,2012,0.121
MAC000002,10/14/2012 4:00:00 PM,2012,0.099
MAC000002,10/14/2012 4:30:00 PM,2012,0.157
MAC000002,10/14/2012 5:00:00 PM,2012,0.093
MAC000002,10/14/2012 5:30:00 PM,2012,0.371
MAC000002,10/14/2012 6:00:00 PM,2012,0.386
MAC000002,10/14/2012 6:30:00 PM,2012,1.085
MAC000002,10/14/2012 7:00:00 PM,2012,1.075
MAC000002,10/14/2012 7:30:00 PM,2012,0.956
MAC000002,10/14/2012 8:00:00 PM,2012,0.821
MAC000002,10/14/2012 8:30:00 PM,2012,0.745
